Measurement Name :,run_3_light_7_12_23-1173,,Generated On :,"12/07/2023, 13:35:30",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0009001173      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 050
Ref LED current   : 050
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
12.07.23 13:24:00,11.28,257.87,277.88,245.3,342.11,216.16,272.23,249.6,226.4,287.24,189.81,207.91,222.98,184.34,288.88,135.64,310.46,176.75,215.03,261.83,270.22,219.56,261.44,321.03,303.34,,23,969,35,25.91,969D6-(E1);
12.07.23 13:24:15,11.53,290.11,296.7,280.72,353.51,189.08,286.83,272.23,253.53,249.6,220.7,161.41,201.59,171.72,258.66,155.07,251.95,172.08,190.54,330.86,311.3,238.7,261.83,311.3,293.4,,23,969,35,25.9,969D6-(E1);
12.07.23 13:24:30,11.78,320.18,302.93,276.26,321.88,189.08,253.92,258.26,239.08,226.4,237.15,213.53,189.44,170.29,243.74,112.29,280.72,167.79,204.18,307.1,292.16,213.53,272.63,312.56,283.97,,23,969,35,25.87,969D6-(E1);
12.07.23 13:24:45,12.03,310.46,311.72,318.48,349.99,219.56,289.29,275.45,250.38,263.03,230.22,176.39,187.25,167.08,263.42,145.99,265.42,203.07,229.84,292.57,277.07,204.18,259.85,303.34,261.44,,23,969,35,25.86,969D6-(E1);
12.07.23 13:25:00,12.28,288.47,292.57,302.09,357.04,226.78,309.62,289.7,264.22,262.63,258.26,218.43,224.5,179.27,271.42,132.21,295.46,192.74,243.74,325.29,306.69,216.16,293.4,302.51,292.57,,23,969,35,25.83,969D6-(E1);
12.07.23 13:25:15,12.53,260.24,325.29,310.88,316.36,225.64,291.34,313.4,211.28,259.85,226.02,155.42,190.17,165.3,271.42,119.33,262.23,205.67,150.52,279.09,251.95,214.28,253.13,291.34,266.22,,23,969,35,25.83,969D6-(E1);
12.07.23 13:25:30,12.78,299.6,267.02,287.24,307.52,185.07,233.3,280.72,254.31,222.98,218.81,152.61,184.34,150.52,270.22,108.63,228.69,173.15,219.18,282.75,257.47,202.33,210.9,303.76,265.82,,23,969,35,25.8,969D6-(E1);
12.07.23 13:25:45,13.03,269.02,298.36,237.15,294.22,192.74,288.47,234.07,256.29,231.38,216.16,173.15,206.04,169.22,269.42,138.38,290.11,190.17,183.98,286.01,268.62,187.25,267.02,278.69,295.87,,23,969,35,25.79,969D6-(E1);
12.07.23 13:26:00,13.28,286.83,283.56,261.04,365.5,199.73,310.46,292.99,243.35,220.7,218.05,207.54,203.81,181.44,289.7,138.04,324.01,206.79,217.29,312.56,286.01,198.26,265.42,254.31,283.16,,23,969,35,25.78,969D6-(E1);
12.07.23 13:26:15,13.53,253.92,300.43,292.99,304.6,228.31,210.15,291.75,229.46,253.13,202.33,175.67,177.11,161.05,279.5,118.99,248.03,179.99,164.24,283.97,276.26,195.68,248.82,312.56,295.46,,23,969,35,25.76,969D6-(E1);
12.07.23 13:26:30,13.78,311.72,332.15,278.69,336.04,225.64,283.16,301.68,234.45,257.47,235.61,217.67,212.78,149.47,273.44,154.36,279.9,197.15,191.64,306.69,255.89,204.56,240.63,327,324.43,,23,969,35,25.72,969D6-(E1);
12.07.23 13:26:45,14.03,245.69,255.1,249.6,298.77,173.87,230.22,279.9,214.66,233.68,200.1,155.07,177.11,129.14,240.63,110.63,243.74,148.77,168.86,248.42,219.56,190.17,272.23,265.42,233.68,,23,969,35,25.72,969D6-(E1);
12.07.23 13:27:00,14.28,314.67,326.14,279.5,362.38,213.15,283.16,325.72,257.08,269.82,174.95,207.16,202.33,161.05,290.11,142.87,308.78,180.72,241.41,329.57,257.47,235.22,294.22,292.99,289.7,,23,969,35,25.69,969D6-(E1);
12.07.23 13:27:15,14.53,295.05,302.51,270.22,372.68,197.89,319.75,309.62,230.22,260.24,204.93,211.28,173.51,174.23,276.66,174.59,278.28,200.1,191.27,302.51,292.16,227.93,272.23,295.46,279.5,,23,969,35,25.66,969D6-(E1);
12.07.23 13:27:30,14.78,286.42,296.29,249.99,330,194.57,275.45,309.2,241.02,228.69,212.03,208.66,200.47,161.41,265.82,120.68,249.21,190.54,214.28,271.02,277.88,230.22,256.29,291.75,281.94,,23,969,35,25.66,969D6-(E1);
12.07.23 13:27:45,15.03,277.88,296.29,280.31,357.93,214.66,278.69,259.85,246.47,227.55,217.67,178.55,182.53,159.64,264.22,87.63,252.35,184.34,233.68,247.64,243.74,200.47,219.56,321.88,277.47,,23,969,35,25.62,969D6-(E1);
12.07.23 13:28:00,15.28,275.86,302.09,302.09,315.52,229.08,298.77,253.92,244.91,221.46,192,172.8,184.34,190.54,316.78,116.64,245.3,194.94,167.44,263.42,312.56,216.16,260.24,301.26,277.07,,23,969,35,25.62,969D6-(E1);
12.07.23 13:28:15,15.53,275.05,294.64,227.16,304.6,174.95,253.92,261.83,236.76,206.04,210.15,180.36,145.99,163.18,275.45,127.1,257.47,151.56,197.15,262.23,242.57,196.78,245.69,310.04,247.64,,23,969,35,25.59,969D6-(E1);
12.07.23 13:28:30,15.78,267.82,313.83,255.1,332.15,189.08,267.02,271.42,237.92,263.03,196.41,182.89,173.87,176.75,309.2,120,272.63,168.86,194.21,245.69,276.26,221.84,249.21,288.47,281.94,,23,969,35,25.58,969D6-(E1);
12.07.23 13:28:45,16.03,282.75,324.01,261.44,348.23,205.3,282.34,293.4,248.42,277.88,217.29,204.93,199.36,151.56,307.1,152.26,283.97,190.17,238.7,339.94,268.62,251.95,292.99,310.04,314.25,,23,969,35,25.55,969D6-(E1);
12.07.23 13:29:00,16.28,299.6,331.29,296.7,324.01,247.25,288.47,293.4,248.42,230.99,228.31,194.21,204.93,173.87,276.26,144.26,248.82,197.15,246.47,312.98,261.04,248.42,278.69,287.65,294.22,,23,969,35,25.54,969D6-(E1);
12.07.23 13:29:15,16.53,267.02,291.75,245.69,304.6,208.66,266.22,243.35,207.91,232.91,189.44,166.02,184.34,148.42,242.57,113.3,266.62,171.72,200.1,280.72,229.46,186.89,229.08,239.86,258.66,,23,969,35,25.53,969D6-(E1);
12.07.23 13:29:30,16.78,319.75,350.87,256.29,340.37,221.46,260.64,346.48,239.47,271.83,199.36,174.59,183.98,173.15,285.2,160.35,257.08,182.89,179.99,275.86,280.72,222.98,295.05,318.9,308.78,,23,969,35,25.51,969D6-(E1);
12.07.23 13:29:45,17.03,289.7,293.4,277.88,342.55,212.4,271.02,311.3,237.15,236.38,207.16,199.73,203.44,173.87,284.38,138.04,262.63,174.23,227.93,267.82,313.4,200.1,256.68,318.48,258.26,,23,969,35,25.48,969D6-(E1);
12.07.23 13:30:00,17.28,288.06,297.94,232.91,351.75,159.99,277.07,277.07,254.71,230.61,168.51,179.99,193.47,157.17,318.05,132.9,252.74,181.8,169.22,293.81,258.26,222.6,254.31,269.02,300.02,,23,969,35,25.48,969D6-(E1);
12.07.23 13:30:15,17.53,305.43,320.18,259.85,328.29,187.25,229.08,257.08,249.6,223.74,220.32,196.04,201.96,115.64,280.31,83.43,235.22,157.53,200.84,255.89,265.42,196.04,266.62,281.12,277.88,,23,969,35,25.45,969D6-(E1);
12.07.23 13:30:30,17.78,299.19,295.46,275.45,334.74,222.98,261.44,268.22,259.45,251.17,229.84,205.67,199,168.15,237.54,105.32,285.6,199.73,195.31,296.7,269.42,192.37,277.88,264.62,288.06,,23,969,35,25.44,969D6-(E1);
12.07.23 13:30:45,18.03,278.28,299.19,295.87,361.93,230.22,274.64,307.1,267.42,254.31,186.89,207.16,181.44,162.82,297.94,123.38,258.66,224.88,191.64,312.98,260.24,196.41,291.34,314.25,288.47,,23,969,35,25.41,969D6-(E1);
12.07.23 13:31:00,18.28,270.22,358.37,234.45,349.11,216.16,281.94,294.22,244.13,249.21,223.36,184.7,197.52,147.38,267.02,164.59,305.85,199,164.95,318.05,283.97,210.9,286.42,306.69,307.1,,23,969,35,25.4,969D6-(E1);
12.07.23 13:31:15,18.53,292.16,311.3,242.19,351.75,169.93,244.13,256.68,218.05,178.91,199.73,183.98,199.36,161.41,277.07,133.92,268.22,189.81,190.9,291.75,220.7,242.19,241.41,324.43,294.22,,23,969,35,25.37,969D6-(E1);
12.07.23 13:31:30,18.78,233.68,281.94,248.03,339.5,172.08,269.42,292.99,260.64,227.55,220.32,171.72,172.08,164.24,257.47,136.32,265.82,167.08,203.44,333.88,263.03,229.08,247.25,309.2,317.63,,23,969,35,25.36,969D6-(E1);
12.07.23 13:31:45,19.03,257.47,298.77,246.47,276.66,167.79,230.22,283.16,185.07,236.76,183.98,148.77,157.53,140.45,244.13,93.81,265.02,154.01,148.08,246.47,232.53,168.86,219.18,270.62,249.21,,23,969,35,25.34,969D6-(E1);
12.07.23 13:32:00,19.28,281.12,300.85,327.86,314.25,210.53,247.64,270.62,226.4,227.93,185.43,194.57,185.43,122.03,279.9,106.31,254.71,178.91,171.36,275.05,251.17,194.21,253.53,292.16,266.22,,23,969,35,25.33,969D6-(E1);
12.07.23 13:32:15,19.53,271.83,259.45,246.47,352.19,194.21,290.93,298.36,218.43,231.38,190.9,172.44,156.12,168.86,271.83,96.43,256.29,203.07,210.53,236.38,264.62,164.24,273.84,274.64,298.77,,23,969,35,25.3,969D6-(E1);
12.07.23 13:32:30,19.78,251.56,323.58,224.12,306.69,142.18,243.74,265.02,218.81,222.6,189.81,170.29,167.44,125.07,226.4,121.35,249.21,163.18,200.84,273.03,231.38,188.71,219.56,277.07,225.64,,23,969,35,25.29,969D6-(E1);
12.07.23 13:32:45,20.03,273.03,315.52,280.31,351.75,224.12,288.88,271.83,219.94,234.45,156.82,159.99,158.23,142.18,285.2,110.29,290.11,157.88,215.03,235.22,271.02,224.88,249.99,324.86,267.42,,23,969,35,25.26,969D6-(E1);
12.07.23 13:33:00,20.28,273.03,318.05,268.22,336.04,196.04,269.42,294.22,246.47,253.53,206.79,187.62,195.68,167.44,295.05,165.3,256.68,181.8,209.4,310.88,261.83,194.94,273.03,300.02,298.36,,23,969,35,25.26,969D6-(E1);
12.07.23 13:33:15,20.53,341.24,317.21,253.92,374.49,212.78,253.13,309.2,226.02,216.54,218.05,188.35,200.1,154.71,293.81,127.1,249.21,183.25,176.03,312.56,255.5,229.08,284.38,297.94,247.64,,23,969,35,25.23,969D6-(E1);
12.07.23 13:33:30,20.78,296.7,305.43,274.24,350.43,222.98,248.42,327.43,239.47,231.76,195.68,173.87,192.37,174.23,253.13,155.42,326.14,198.26,204.18,299.6,269.82,240.25,227.16,308.78,259.85,,23,969,35,25.22,969D6-(E1);
12.07.23 13:33:45,21.03,256.29,302.09,239.86,314.25,196.78,290.93,257.47,210.9,236.38,204.93,179.27,199,144.26,248.82,82.79,250.38,172.44,197.15,269.02,264.22,207.16,209.03,302.93,263.82,,23,969,35,25.2,969D6-(E1);
12.07.23 13:34:00,21.28,282.34,317.63,270.22,371.33,206.42,278.28,247.25,253.53,224.5,195.68,159.29,205.67,141.14,274.64,121.35,273.03,215.79,178.91,298.36,282.75,179.63,239.08,310.46,312.14,,23,969,35,25.19,969D6-(E1);
12.07.23 13:34:15,21.53,308.78,312.98,271.83,365.05,210.9,273.44,267.02,265.82,221.84,220.32,187.98,174.59,140.45,295.05,101.35,246.47,181.8,182.53,265.02,272.63,236.38,246.47,332.58,289.29,,23,969,35,25.18,969D6-(E1);
12.07.23 13:34:31,21.8,270.22,301.26,258.26,334.31,188.71,275.86,320.6,246.47,274.64,184.34,157.88,164.24,181.44,281.94,116.31,267.42,187.98,211.65,299.19,261.44,209.03,250.78,282.75,244.13,,23,969,35,25.15,969D6-(E1);
