Measurement Name :,run_3_light_7_12_23-583,,Generated On :,"12/07/2023, 13:35:24",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000583      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 050
Ref LED current   : 040
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
12.07.23 13:24:00,11.28,289.29,258.66,211.28,190.9,181.08,281.53,318.48,199.73,295.87,190.54,258.66,114.3,164.95,241.02,155.07,231.76,263.03,0,274.64,246.47,191.27,225.26,174.23,246.86,,23,969,35,24.61,969D6-(E1);
12.07.23 13:24:15,11.53,286.83,292.99,278.69,255.5,178.19,282.75,248.82,302.51,350.87,231.38,286.42,196.78,253.53,297.53,203.07,297.94,318.9,83.11,305.85,242.19,273.84,303.34,217.67,308.36,,23,969,35,24.61,969D6-(E1);
12.07.23 13:24:30,11.78,297.94,192.37,259.06,185.43,165.3,248.82,254.71,251.56,346.48,242.19,273.84,108.96,204.56,223.36,200.84,225.64,276.66,46.22,232.91,265.82,188.71,249.21,178.91,279.9,,23,969,35,24.59,969D6-(E1);
12.07.23 13:24:45,12.03,260.64,299.6,237.15,218.05,253.53,298.36,302.09,264.62,341.24,233.3,259.85,137.01,227.93,251.56,210.53,203.07,232.14,43.14,301.26,281.94,202.7,248.03,158.23,214.66,,23,969,35,24.59,969D6-(E1);
12.07.23 13:25:00,12.28,243.74,249.21,244.91,204.56,241.02,265.02,314.25,276.66,326.57,285.2,246.47,114.63,240.25,242.57,196.41,261.04,282.34,47.76,292.57,296.29,148.42,239.47,177.11,297.53,,23,969,35,24.59,969D6-(E1);
12.07.23 13:25:15,12.53,308.78,277.88,248.42,196.78,180.72,206.04,273.44,254.71,358.82,221.46,236.38,124.05,276.26,176.03,130.17,283.16,246.47,56.15,314.25,277.88,193.1,248.03,174.95,328.29,,23,969,35,24.59,969D6-(E1);
12.07.23 13:25:30,12.78,279.5,275.05,222.6,211.65,253.13,307.1,269.42,226.02,333.01,324.43,245.3,155.42,236.38,273.84,184.7,235.22,267.42,60.22,232.91,288.06,243.74,289.29,163.88,242.96,,23,969,35,24.58,969D6-(E1);
12.07.23 13:25:45,13.03,237.92,213.15,214.28,186.16,176.03,309.2,219.18,275.05,362.82,175.67,201.59,45.6,226.02,232.91,177.83,229.46,228.31,14.74,263.82,313.83,172.44,241.02,170.29,238.7,,23,969,35,24.59,969D6-(E1);
12.07.23 13:26:00,13.28,294.22,287.65,269.82,185.8,209.4,292.99,288.06,281.94,306.69,272.23,272.23,107.97,182.89,233.3,176.03,235.22,211.28,31.24,259.06,233.68,244.52,219.94,176.03,234.45,,23,969,35,24.58,969D6-(E1);
12.07.23 13:26:15,13.53,261.83,302.09,211.65,207.91,225.64,314.67,289.7,270.22,341.68,245.3,214.66,117.31,240.63,314.67,122.03,307.1,219.56,35.8,254.31,249.6,206.79,228.69,166.37,259.06,,23,969,35,24.58,969D6-(E1);
12.07.23 13:26:30,13.78,187.98,274.24,201.96,161.41,241.02,273.84,281.94,271.02,249.21,208.66,197.52,81.5,226.02,225.26,164.59,242.57,221.84,27.61,300.02,262.63,171.01,204.93,151.91,219.56,,23,969,35,24.58,969D6-(E1);
12.07.23 13:26:45,14.03,213.15,193.1,283.97,185.8,177.11,271.83,265.02,221.08,296.29,214.28,213.9,97.41,237.15,236.76,186.16,261.04,224.88,6.76,232.91,241.41,187.98,214.28,125.41,254.71,,23,969,35,24.55,969D6-(E1);
12.07.23 13:27:00,14.28,230.99,233.68,234.45,167.08,211.65,206.42,178.55,197.52,216.92,166.73,221.46,70.63,242.96,212.03,146.34,201.96,225.26,0,277.07,203.07,127.78,182.89,153.31,247.25,,23,969,35,24.55,969D6-(E1);
12.07.23 13:27:15,14.53,237.15,231.76,268.62,195.31,234.84,269.02,296.29,308.78,327.86,252.35,174.95,58.34,188.71,236.38,178.19,221.84,254.71,10.59,216.92,222.6,168.15,219.18,135.64,266.22,,23,969,35,24.55,969D6-(E1);
12.07.23 13:27:30,14.78,246.86,279.5,228.31,180.36,190.9,278.28,219.56,243.74,291.34,246.47,209.03,88.93,248.03,232.53,80.53,223.74,177.47,31.54,260.64,297.11,212.03,272.23,120.34,213.53,,23,969,35,24.55,969D6-(E1);
12.07.23 13:27:45,15.03,216.54,270.62,305.01,173.87,270.22,204.93,173.87,291.34,275.86,297.94,247.64,140.45,288.06,337.34,212.4,283.56,237.54,0,312.98,281.94,227.55,253.13,159.64,190.9,,23,969,35,24.55,969D6-(E1);
12.07.23 13:28:00,15.28,236.76,275.45,300.85,239.47,258.26,275.86,261.44,237.15,362.38,249.99,245.69,94.14,266.62,265.02,226.4,273.03,217.29,6.17,273.84,305.01,235.99,242.19,173.51,239.08,,23,969,35,24.55,969D6-(E1);
12.07.23 13:28:15,15.53,281.12,303.34,264.22,196.41,237.54,368.19,256.29,313.83,342.55,290.93,233.68,141.14,300.02,279.5,238.31,251.17,268.22,82.14,318.48,286.01,275.05,281.94,212.78,276.66,,23,969,35,24.55,969D6-(E1);
12.07.23 13:28:30,15.78,252.74,235.99,208.66,189.08,250.38,286.01,283.97,244.91,300.43,292.99,283.56,104.99,242.57,193.1,203.07,252.35,212.03,47.76,226.78,258.26,223.74,254.71,185.07,295.05,,23,969,35,24.55,969D6-(E1);
12.07.23 13:28:45,16.03,262.63,240.63,197.15,169.22,186.16,244.91,318.48,291.75,245.3,235.22,242.96,68.73,226.4,263.82,181.44,244.52,222.98,21.3,291.75,254.31,179.63,234.45,170.65,280.72,,23,969,35,24.55,969D6-(E1);
12.07.23 13:29:00,16.28,249.6,234.84,257.47,180.72,220.7,221.08,223.74,224.88,315.94,224.12,230.99,92.18,245.3,238.31,177.83,241.41,197.89,27.91,282.34,244.52,186.16,235.99,159.64,225.26,,23,969,35,24.55,969D6-(E1);
12.07.23 13:29:15,16.53,336.9,309.62,242.19,226.4,239.47,305.01,284.79,283.56,295.05,288.47,288.47,95.77,220.7,277.47,212.03,284.79,192,51.48,274.24,302.09,216.16,328.71,191.64,292.99,,23,969,35,24.54,969D6-(E1);
12.07.23 13:29:30,16.78,279.09,234.45,291.75,185.8,174.95,186.16,212.4,207.16,292.16,207.91,259.06,97.74,214.66,217.67,145.64,232.53,228.31,34.88,217.67,232.91,205.3,219.18,150.86,290.93,,23,969,35,24.54,969D6-(E1);
12.07.23 13:29:45,17.03,295.05,265.42,216.16,212.4,264.62,344.73,299.6,244.13,328.71,225.26,249.21,65.25,265.82,240.25,161.76,333.88,261.83,63.67,248.82,270.22,259.45,272.63,199,235.99,,23,969,35,24.55,969D6-(E1);
12.07.23 13:30:00,17.28,201.59,234.07,222.22,118.99,210.53,185.07,297.53,200.1,374.04,191.27,192,78.61,161.05,200.47,147.03,235.22,221.08,5.87,185.07,234.84,150.17,181.08,185.8,207.16,,23,969,35,24.55,969D6-(E1);
12.07.23 13:30:15,17.53,327.43,247.25,248.03,221.46,216.54,313.83,285.6,218.05,291.75,254.71,182.53,121.35,258.66,233.68,183.98,301.26,230.99,41.91,272.23,276.66,199,193.1,180.72,252.74,,23,969,35,24.54,969D6-(E1);
12.07.23 13:30:30,17.78,282.75,263.03,215.03,213.15,156.47,379.92,226.78,281.94,286.42,277.07,225.26,109.3,313.83,218.43,173.51,278.28,265.02,59.28,283.56,274.64,229.84,235.22,238.7,290.52,,23,969,35,24.54,969D6-(E1);
12.07.23 13:30:45,18.03,295.87,186.52,259.45,161.41,267.42,292.99,256.29,278.69,380.83,252.74,238.7,78.93,201.59,243.35,182.16,229.08,235.61,22.8,269.02,297.94,144.95,215.79,151.56,227.55,,23,969,35,24.55,969D6-(E1);
12.07.23 13:31:00,18.28,266.62,233.3,275.05,167.08,200.1,237.15,278.28,213.15,339.5,239.08,232.53,79.57,148.42,219.94,172.44,218.43,201.59,7.93,226.02,241.02,196.78,223.36,157.53,242.19,,23,969,35,24.55,969D6-(E1);
12.07.23 13:31:15,18.53,301.26,246.47,271.83,193.84,179.63,271.42,231.38,283.16,280.72,243.74,204.93,123.04,210.53,284.79,170.65,254.71,285.2,0,263.82,274.24,179.27,235.22,178.55,200.84,,23,969,35,24.55,969D6-(E1);
12.07.23 13:31:30,18.78,301.68,254.31,279.09,192.37,269.42,231.38,239.47,197.52,371.33,241.8,182.53,123.38,284.79,269.82,156.47,232.91,232.14,0,294.22,277.47,220.7,226.4,130.85,208.28,,23,969,35,24.55,969D6-(E1);
12.07.23 13:31:45,19.03,256.68,304.18,266.22,193.84,263.42,361.04,291.75,301.26,290.52,297.53,269.82,102.01,229.46,262.23,204.93,304.18,215.03,38.24,238.31,330,242.19,269.42,181.08,256.68,,23,969,35,24.54,969D6-(E1);
12.07.23 13:32:00,19.28,207.16,240.63,208.66,140.11,226.4,256.29,191.64,190.54,289.29,151.91,149.82,70,206.04,226.02,135.29,232.91,174.59,4.7,239.86,208.28,135.98,206.04,130.85,194.57,,23,969,35,24.54,969D6-(E1);
12.07.23 13:32:15,19.53,294.22,323.58,261.83,212.4,180.72,290.52,267.42,287.24,314.67,262.23,261.83,134.27,312.14,269.02,187.25,267.42,222.22,25.2,307.1,287.65,216.92,289.7,163.18,278.28,,23,969,35,24.54,969D6-(E1);
12.07.23 13:32:30,19.78,267.42,274.24,211.65,233.3,232.91,280.31,307.52,310.46,290.11,282.34,369.08,130.85,346.48,370.43,219.56,277.47,196.78,120.34,329.14,311.3,230.61,256.68,175.67,285.6,,23,969,35,24.54,969D6-(E1);
12.07.23 13:32:45,20.03,215.41,281.94,265.42,190.9,226.02,268.62,261.44,243.74,335.6,245.3,237.54,108.3,202.33,258.26,118.32,259.45,295.05,37.32,251.95,277.88,176.75,306.27,234.84,214.66,,23,969,35,24.54,969D6-(E1);
12.07.23 13:33:00,20.28,309.2,279.09,293.4,232.53,193.47,233.3,275.45,312.98,363.27,288.47,218.81,103.99,344.73,284.38,184.7,250.38,281.53,52.41,312.98,247.25,274.24,297.94,216.54,279.09,,23,969,35,24.55,969D6-(E1);
12.07.23 13:33:15,20.53,339.5,274.24,233.3,218.43,226.02,275.86,285.6,282.75,337.77,262.23,232.53,107.3,215.03,230.99,173.15,228.31,263.82,59.9,295.05,300.85,213.9,273.44,153.31,307.52,,23,969,35,24.54,969D6-(E1);
12.07.23 13:33:30,20.78,230.22,282.34,201.59,186.16,219.18,257.47,245.3,229.46,315.09,299.6,215.79,103.66,284.38,206.42,178.19,268.62,252.74,40.69,252.74,284.79,219.18,206.04,164.24,271.83,,23,969,35,24.54,969D6-(E1);
12.07.23 13:33:45,21.03,209.78,259.06,172.8,194.94,233.68,249.99,254.71,288.88,273.44,304.18,214.28,91.53,190.17,300.43,126.76,230.61,261.83,0,282.34,252.35,216.92,217.29,158.23,273.44,,23,969,35,24.52,969D6-(E1);
12.07.23 13:34:00,21.28,231.76,283.97,229.46,180.72,226.02,277.88,212.4,206.79,255.1,269.02,203.44,112.29,241.8,251.56,176.75,215.79,216.54,59.9,336.04,212.03,145.99,216.54,187.62,229.84,,23,969,35,24.51,969D6-(E1);
12.07.23 13:34:15,21.53,259.45,198.26,266.22,187.25,182.16,242.96,304.18,248.03,311.3,245.69,284.79,156.12,177.83,271.42,179.27,267.02,297.11,72.22,236.38,274.24,209.4,248.42,212.78,268.22,,23,969,35,24.51,969D6-(E1);
12.07.23 13:34:31,21.8,288.47,267.42,234.07,195.31,215.41,207.16,252.74,284.38,309.2,260.64,323.15,113.3,218.43,227.93,126.09,210.15,292.57,60.53,242.57,213.15,215.79,223.74,123.72,232.53,,23,969,35,24.51,969D6-(E1);
